ACRI-A.ST,quarterlyCurrentAssets: 127620000.0,quarterlyCurrentLiabilities: 187967000.0,quarterlyEBIT: 18147000.0,quarterlyEnterpriseValue: 1534666316.0,quarterlyNetPPE: 10897000.0
ACRI-B.ST,quarterlyCurrentAssets: 127620000.0,quarterlyCurrentLiabilities: 187967000.0,quarterlyEBIT: 18147000.0,quarterlyEnterpriseValue: 1534666316.0,quarterlyNetPPE: 10897000.0
ACRV,quarterlyCurrentAssets: 144492000.0,quarterlyCurrentLiabilities: 9299000.0,quarterlyEBIT: -16137000.0,quarterlyEnterpriseValue: 64664076.0,quarterlyNetPPE: 6189000.0
ACROUD.ST,quarterlyCurrentAssets: 8163000.0,quarterlyCurrentLiabilities: 7339000.0,quarterlyEBIT: -802000.0,quarterlyEnterpriseValue: 474128479.0,quarterlyNetPPE: 657000.0
ASNS,quarterlyCurrentAssets: 5415000.0,quarterlyCurrentLiabilities: 6631000.0,quarterlyEBIT: -706000.0,quarterlyEnterpriseValue: 4719600.0,quarterlyNetPPE: 469000.0
ATIC.ST,quarterlyCurrentAssets: 66914000.0,quarterlyCurrentLiabilities: 339854000.0,quarterlyEBIT: 12768000.0,quarterlyEnterpriseValue: 978786338.0,quarterlyNetPPE: 702286000.0
ATNM,quarterlyCurrentAssets: 85596000.0,quarterlyCurrentLiabilities: 8672000.0,quarterlyEBIT: -14351000.0,quarterlyEnterpriseValue: 70886715.0,quarterlyNetPPE: 3038000.0
ACTI.ST,quarterlyCurrentAssets: 8700000.0,quarterlyCurrentLiabilities: 9600000.0,quarterlyEBIT: -10600000.0,quarterlyEnterpriseValue: 161244502.0,quarterlyNetPPE: 5000000.0
AYI,quarterlyCurrentAssets: 1395200000.0,quarterlyCurrentLiabilities: 595400000.0,quarterlyEBIT: 111400000.0,quarterlyEnterpriseValue: 5240881107.0,quarterlyNetPPE: 381700000.0
ABOS,quarterlyCurrentAssets: 218598000.0,quarterlyCurrentLiabilities: 6098000.0,quarterlyEBIT: -16039000.0,quarterlyEnterpriseValue: 95302324.0,quarterlyNetPPE: 125000.0
GOLF,quarterlyCurrentAssets: 1033521000.0,quarterlyCurrentLiabilities: 856197000.0,quarterlyEBIT: 78605000.0,quarterlyEnterpriseValue: 4148405905.0,quarterlyNetPPE: 275007000.0
AFIB,quarterlyCurrentAssets: 72637000.0,quarterlyCurrentLiabilities: 14767000.0,quarterlyEBIT: -11753000.0,quarterlyEnterpriseValue: 4644879.0,quarterlyNetPPE: 9970000.0
ACUVI.ST,quarterlyCurrentAssets: 131105000.0,quarterlyCurrentLiabilities: 100676000.0,quarterlyEBIT: -9551000.0,quarterlyEnterpriseValue: 276913181.0,quarterlyNetPPE: 15564000.0
ACVA,quarterlyCurrentAssets: 741733000.0,quarterlyCurrentLiabilities: 367367000.0,quarterlyEBIT: -17798000.0,quarterlyEnterpriseValue: 2044974766.0,quarterlyNetPPE: 5167000.0
JEWL,quarterlyCurrentAssets: 2142467.0,quarterlyCurrentLiabilities: 8177762.0,quarterlyEBIT: -4475800.0,quarterlyEnterpriseValue: 26222961.0,quarterlyNetPPE: 3211190.0
ADZ.V,quarterlyCurrentAssets: 743250.0,quarterlyCurrentLiabilities: 535530.0,quarterlyEBIT: -136719.0,quarterlyEnterpriseValue: 7135962.0,quarterlyNetPPE: 7776075.0
AE,quarterlyCurrentAssets: 274786000.0,quarterlyCurrentLiabilities: 252601000.0,quarterlyEBIT: 4044000.0,quarterlyEnterpriseValue: 133469537.0,quarterlyNetPPE: 117254000.0
AHCO,quarterlyCurrentAssets: 585067000.0,quarterlyCurrentLiabilities: 448185000.0,quarterlyEBIT: -455193000.0,quarterlyEnterpriseValue: 3506767691.0,quarterlyNetPPE: 621588000.0
ADAP,quarterlyCurrentAssets: 219368000.0,quarterlyCurrentLiabilities: 75146000.0,quarterlyEBIT: -46633000.0,quarterlyEnterpriseValue: -1950848.0,quarterlyNetPPE: 73873000.0
ADPT,quarterlyCurrentAssets: 435237000.0,quarterlyCurrentLiabilities: 93298000.0,quarterlyEBIT: -46674000.0,quarterlyEnterpriseValue: 474606893.0,quarterlyNetPPE: 152012000.0
ADCT,quarterlyCurrentAssets: 375598000.0,quarterlyCurrentLiabilities: 78206000.0,quarterlyEBIT: -34951000.0,quarterlyEnterpriseValue: -151562654.0,quarterlyNetPPE: 15532000.0
ADCO.TO,quarterlyCurrentAssets: 9756000.0,quarterlyCurrentLiabilities: 4088000.0,quarterlyEBIT: 4000.0,quarterlyEnterpriseValue: 7023682.0,quarterlyNetPPE: 255000.0
ATXG,quarterlyCurrentAssets: 30204141.0,quarterlyCurrentLiabilities: 4911374.0,quarterlyEBIT: 1969456.0,quarterlyEnterpriseValue: -3644367.0,quarterlyNetPPE: 20335752.0
ADXN,quarterlyCurrentAssets: 5742707.0,quarterlyCurrentLiabilities: 1930995.0,quarterlyEBIT: -2613567.0,quarterlyEnterpriseValue: -747742.0,quarterlyNetPPE: 341046.0
ALIF-B.ST,quarterlyCurrentAssets: 3859000000.0,quarterlyCurrentLiabilities: 4636000000.0,quarterlyEBIT: 132000000.0,quarterlyEnterpriseValue: 13527244699.0,quarterlyNetPPE: 927000000.0
ANOD-B.ST,quarterlyCurrentAssets: 2191000000.0,quarterlyCurrentLiabilities: 2259000000.0,quarterlyEBIT: 85000000.0,quarterlyEnterpriseValue: 9380006986.0,quarterlyNetPPE: 268000000.0
ADDT-B.ST,quarterlyCurrentAssets: 8005000000.0,quarterlyCurrentLiabilities: 5590000000.0,quarterlyEBIT: 618000000.0,quarterlyEnterpriseValue: 51538000341.0,quarterlyNetPPE: 1275000000.0
ADUS,quarterlyCurrentAssets: 211249000.0,quarterlyCurrentLiabilities: 139639000.0,quarterlyEBIT: 23419000.0,quarterlyEnterpriseValue: 1430388289.0,quarterlyNetPPE: 67699000.0
ADDV-A.ST,quarterlyCurrentAssets: 931800000.0,quarterlyCurrentLiabilities: 439100000.0,quarterlyEBIT: 66500000.0,quarterlyEnterpriseValue: 2229348319.0,quarterlyNetPPE: 115400000.0
ADDV-B.ST,quarterlyCurrentAssets: 931800000.0,quarterlyCurrentLiabilities: 439100000.0,quarterlyEBIT: 66500000.0,quarterlyEnterpriseValue: 2229348319.0,quarterlyNetPPE: 115400000.0
AGRO,quarterlyCurrentAssets: 1203658000.0,quarterlyCurrentLiabilities: 637005000.0,quarterlyEBIT: 115478000.0,quarterlyEnterpriseValue: 2468707823.0,quarterlyNetPPE: 1993370000.0
ADEA,quarterlyCurrentAssets: 219784000.0,quarterlyCurrentLiabilities: 81912000.0,quarterlyEBIT: 41603000.0,quarterlyEnterpriseValue: 1689582173.0,quarterlyNetPPE: 10001000.0
ADEN.TO,quarterlyCurrentAssets: 632677000.0,quarterlyCurrentLiabilities: 298822000.0,quarterlyEBIT: 17123000.0,quarterlyEnterpriseValue: 1543567820.0,quarterlyNetPPE: 191540000.0
ADE.OL,quarterlyCurrentAssets: 380000000.0,quarterlyCurrentLiabilities: 478000000.0,quarterlyEBIT: 62000000.0,quarterlyEnterpriseValue: 150787364270.0,quarterlyNetPPE: 103000000.0
ADE.V,quarterlyCurrentAssets: 232489.0,quarterlyCurrentLiabilities: 1887983.0,quarterlyEBIT: -264658.0,quarterlyEnterpriseValue: 8131748.0,quarterlyNetPPE: 522472.0
DRX.TO,quarterlyCurrentAssets: 179082000.0,quarterlyCurrentLiabilities: 96075000.0,quarterlyEBIT: 11577000.0,quarterlyEnterpriseValue: 148994112.0,quarterlyNetPPE: 106494000.0
